epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,39868.3,0.64972,1.26165,0.56943,1.10183,0.9197,0.83369,0.92771,0.79853,0.93466,0.8294,0.92743,0.76094,0.55051,1.02897,0.49957,1.01261,0.0004556,0.0004556,0.0004556
41,40745.5,0.61355,1.14782,0.56511,1.20175,0.92223,0.84394,0.93016,0.80108,0.92311,0.84394,0.92946,0.76259,0.54701,1.01057,0.49137,1.01828,0.000416,0.000416,0.000416
42,41631.9,0.60009,1.1217,0.55119,1.19473,0.92701,0.84427,0.93277,0.80009,0.92558,0.84537,0.93196,0.76551,0.55632,0.97589,0.49803,1.02922,0.0003764,0.0003764,0.0003764
43,42511.9,0.58109,1.08839,0.52473,1.17926,0.92744,0.84942,0.93568,0.81504,0.92833,0.84894,0.93443,0.77196,0.52758,0.97209,0.46775,0.99553,0.0003368,0.0003368,0.0003368
44,43373.2,0.57649,1.08959,0.52194,1.164,0.93904,0.85204,0.94121,0.82044,0.93886,0.85204,0.93869,0.77512,0.51691,0.96882,0.46326,0.9867,0.0002972,0.0002972,0.0002972
45,44055.6,0.55775,1.0708,0.50673,1.14657,0.93311,0.86562,0.9448,0.82392,0.93336,0.86586,0.94177,0.78214,0.51359,0.9472,0.44241,0.98091,0.0002576,0.0002576,0.0002576
46,44751,0.55347,1.05601,0.49883,1.14537,0.92876,0.86047,0.94206,0.82465,0.92901,0.86419,0.94031,0.78305,0.50743,0.93915,0.44671,0.97185,0.000218,0.000218,0.000218
47,45430,0.54662,1.03692,0.4836,1.13443,0.93087,0.87268,0.94783,0.83537,0.93184,0.87302,0.94562,0.78897,0.49376,0.92999,0.4283,0.96093,0.0001784,0.0001784,0.0001784
48,46106.7,0.5369,1.02227,0.47949,1.13349,0.93146,0.87434,0.95013,0.84006,0.94085,0.86681,0.94784,0.7935,0.48801,0.91297,0.41991,0.95568,0.0001388,0.0001388,0.0001388
49,46783.8,0.53403,1.0194,0.46955,1.13014,0.93126,0.88117,0.95241,0.84307,0.94363,0.86956,0.94907,0.79623,0.4819,0.90699,0.41279,0.94864,9.92e-05,9.92e-05,9.92e-05
50,47461.9,0.52802,1.01879,0.46487,1.12673,0.93886,0.87818,0.95323,0.84642,0.93881,0.87739,0.95117,0.79967,0.47581,0.89669,0.40797,0.94401,5.96e-05,5.96e-05,5.96e-05
